"make","model","length","year","price","url"
"Bavaria","38 ft 2003 Bavaria 38","38","2003","114558","https://au.yachtworld.com/boats/2003/bavaria-38-3599197/"
"Bavaria","38 ft 2008 Bavaria 38 Cruiser","38","2008","114558","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3600029/"
"Bavaria","42 ft 2000 Bavaria 42","42","2000","116194","https://au.yachtworld.com/boats/2000/bavaria-42-2668343/"
"Bavaria","39 ft 2006 Bavaria 39 Cruiser","39","2006","117013","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-2687266/"
"Bavaria","45 ft 2003 Bavaria 44","45","2003","117232","https://au.yachtworld.com/boats/2003/bavaria-44-3564771/"
"Bavaria","38 ft 2005 Bavaria 38 Cruiser","38","2005","117232","https://au.yachtworld.com/boats/2005/bavaria-38-cruiser-3590390/"
"Bavaria","45 ft 2003 Bavaria 44","45","2003","118649","https://au.yachtworld.com/boats/2003/bavaria-44-3113564/"
"Bavaria","40 ft 2001 Bavaria 40 Ocean","40","2001","120286","https://au.yachtworld.com/boats/2001/bavaria-40-ocean-3543655/"
"Bavaria","42 ft 2001 Bavaria 42","42","2001","121104","https://au.yachtworld.com/boats/2001/bavaria-42-3518958/"
"Bavaria","42 ft 2000 Bavaria 42","42","2000","121104","https://au.yachtworld.com/boats/2000/bavaria-42-3550847/"
"Bavaria","39 ft 2001 Bavaria Bavaria 40","39","2001","121104","https://au.yachtworld.com/boats/2001/bavaria-bavaria-40-3583541/"
"Bavaria","44 ft 2004 Bavaria 44","44","2004","122577","https://au.yachtworld.com/boats/2004/bavaria-44-3529261/"
"Bavaria","45 ft 2004 Bavaria 44","45","2004","122659","https://au.yachtworld.com/boats/2004/bavaria-44-3619546/"
"Bavaria","44 ft 2001 Bavaria 44","44","2001","122659","https://au.yachtworld.com/boats/2001/bavaria-44-3558757/"
"Bavaria","38 ft 2003 Bavaria 38","38","2003","122659","https://au.yachtworld.com/boats/2003/bavaria-38-3114157/"
"Bavaria","38 ft 2002 Bavaria 38 Cruiser","38","2002","122732","https://au.yachtworld.com/boats/2002/bavaria-38-cruiser-3490371/"
"Bavaria","50 ft 2003 Bavaria 49","50","2003","122741","https://au.yachtworld.com/boats/2003/bavaria-49-3138885/"
"Bavaria","49 ft 2003 Bavaria 49","49","2003","122741","https://au.yachtworld.com/boats/2003/bavaria-49-3535854/"
"Bavaria","44 ft 2004 Bavaria 44","44","2004","122741","https://au.yachtworld.com/boats/2004/bavaria-44-2061218/"
"Bavaria","44 ft 2003 Bavaria 44","44","2003","122741","https://au.yachtworld.com/boats/2003/bavaria-44-3011160/"
"Bavaria","44 ft 2002 Bavaria 44 / VAT PAID","44","2002","122741","https://au.yachtworld.com/boats/2002/bavaria-44-vat-paid-3513561/"
"Bavaria","42 ft 2005 Bavaria 42","42","2005","122741","https://au.yachtworld.com/boats/2005/bavaria-42-3644496/"
"Bavaria","42 ft 2000 Bavaria Bavaria 42","42","2000","122741","https://au.yachtworld.com/boats/2000/bavaria-bavaria-42-3589441/"
"Bavaria","40 ft 2008 Bavaria 40 Cruiser","40","2008","122741","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-2687268/"
"Bavaria","40 ft 2008 Bavaria 40 Cruiser","40","2008","122741","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3069924/"
"Bavaria","40 ft 2003 Bavaria 41","40","2003","122741","https://au.yachtworld.com/boats/2003/bavaria-41-3520873/"
"Bavaria","40 ft 2002 Bavaria 40","40","2002","122741","https://au.yachtworld.com/boats/2002/bavaria-40-3581182/"
"Bavaria","40 ft 2005 Bavaria 38","40","2005","122741","https://au.yachtworld.com/boats/2005/bavaria-38-3043157/"
"Bavaria","39 ft 2007 Bavaria 39-3","39","2007","122741","https://au.yachtworld.com/boats/2007/bavaria-39-3-3469398/"
"Bavaria","39 ft 2008 Bavaria 40 Cruiser","39","2008","122741","https://au.yachtworld.com/boats/2008/bavaria-40-cruiser-3242663/"
"Bavaria","39 ft 2007 Bavaria 39-3 Cruiser","39","2007","122741","https://au.yachtworld.com/boats/2007/bavaria-39-3-cruiser--3528989/"
"Bavaria","38 ft 2003 Bavaria 38 GTE","38","2003","122741","https://au.yachtworld.com/boats/2003/bavaria-38-gte-3647437/"
"Bavaria","38 ft 2008 Bavaria 38 Cruiser","38","2008","122741","https://au.yachtworld.com/boats/2008/bavaria-38-cruiser-3567451/"
"Bavaria","42 ft 2001 Bavaria 42'","42","2001","123559","https://au.yachtworld.com/boats/2001/bavaria-42-3246651/"
"Bavaria","46 ft 2005 Bavaria 46 Cruiser","46","2005","123723","https://au.yachtworld.com/boats/2005/bavaria-cruiser-46-3229192/"
"Bavaria","46 ft 2006 Bavaria 46 Cruiser / NEW engine","46","2006","123723","https://au.yachtworld.com/boats/2006/bavaria-46-cruiser-new-engine-3508490/"
"Bavaria","38 ft 2009 Bavaria Bavaria 38 Clipper","38","2009","124377","https://au.yachtworld.com/boats/2009/bavaria-bavaria-38-clipper-3602061/"
"Bavaria","38 ft 2009 Bavaria 38 Cruiser","38","2009","124377","https://au.yachtworld.com/boats/2009/bavaria-38-cruiser-3521127/"
"Bavaria","44 ft 2003 Bavaria 44","44","2003","125850","https://au.yachtworld.com/boats/2003/bavaria-44-3597847/"
"Bavaria","50 ft 2002 Bavaria 50 / VAT PAID","50","2002","126832","https://au.yachtworld.com/boats/2002/bavaria-50-vat-paid-3642871/"
"Bavaria","39 ft 2006 Bavaria 39 Cruiser","39","2006","126832","https://au.yachtworld.com/boats/2006/bavaria-39-cruiser-3647558/"
"Bavaria","47 ft 2007 Bavaria Cruiser 46","47","2007","127650","https://au.yachtworld.com/boats/2007/bavaria-cruiser-46-3584155/"
"Bavaria","44 ft 2002 Bavaria 44","44","2002","127650","https://au.yachtworld.com/boats/2002/bavaria-44-3611276/"
"Bavaria","39 ft 2006 Bavaria Bavaria 39 Cruiser","39","2006","127650","https://au.yachtworld.com/boats/2006/bavaria-bavaria-39-cruiser-2754718/"
"Bavaria","49 ft 2001 Bavaria 47 Cruiser","49","2001","129287","https://au.yachtworld.com/boats/2001/bavaria-47-cruiser-3562923/"
"Bavaria","45 ft 2003 Bavaria Bavaria 44","45","2003","129287","https://au.yachtworld.com/boats/2003/bavaria-bavaria-44-3644944/"
